call_id,duration_sec,snr_before_db,snr_after_db,snr_improvement_db,agent_talk_pct,customer_talk_pct,silence_pct,interaction_type,customer_sentiment,agent_sentiment,sentiment_trend,interpretation,compliance_score,compliance_label,risk_severity,qa_score,rating
bank_malay,103.891,1.63,5.15,3.52,46.43,34.48,19.09,Balanced (Interactive),0.0496,-0.0093,Stable,Routine Interaction,0.0,Non-Compliant,Clean,61.29,Fair
billing_english,82.731,0.97,0.72,-0.25,7.78,80.5,11.71,Customer Venting,0.0171,0.2561,Declining,Churn Risk — Unresolved Issue,0.0,Non-Compliant,Medium,42.88,Needs Improvement
delivery_malay,88.971,1.83,4.71,2.88,5.46,80.93,13.61,Customer Venting,0.0106,0.0,Stable,Routine Interaction,0.0,Non-Compliant,Clean,40.36,Needs Improvement
food_malay,80.691,0.83,2.77,1.94,40.03,47.37,12.6,Balanced (Interactive),0.0,0.0,Stable,Routine Interaction,0.0,Non-Compliant,Medium,57.52,Fair
insurance_english,70.131,-0.37,-1.13,-0.76,47.91,36.08,16.01,Balanced (Interactive),0.1506,0.1804,Improving,Successful Service Recovery,0.5,Partially Compliant,Clean,72.42,Fair
internet_english,106.171,-0.63,2.23,2.86,53.57,33.64,12.78,Balanced (Interactive),-0.1307,0.0702,Stable,Churn Risk — Unresolved Issue,0.75,Partially Compliant,Medium,73.26,Fair
